,Var1,Freq
40,ADDINGTON RD,5
51,AINSWORTH ST,2
56,ALAMEDA RD,1
59,ALBANO ST,12
64,ALBERTA ST,2
69,ALDER ST,1
72,ALDRICH ST,19
81,ALLANDALE ST,1
84,ALLEN ST,2
101,ALWARD RD,1
111,AMHERST ST,7
117,ANAWAN AV,4
118,ANAWAN TER,1
120,ANDERER LA,1
121,ANDERER LN,1
137,ANSONIA RD,4
148,ARBOROUGH RD,1
158,ARCHDALE RD,44
161,ARDALE ST,4
163,ARDENT ST,3
185,ASHFIELD ST,4
203,ATHERTON AV,3
212,ATWILL RD,2
216,AUGUSTUS AV,5
217,AUGUSTUS AVE,3
222,AVALON RD,2
226,AVERTON ST,3
246,BAKER CT,1
248,BAKER ST,30
264,BANGOR RD,1
285,BASILE ST,8
286,BASTO TR,1
319,BEECH ST,46
322,BEECHLAND CIR,2
323,BEECHLAND ST,13
328,BELAIR ST,1
332,BELGRADE AV,74
333,BELGRADE AVE,4
336,BELLAIRE RD,1
338,BELLE AV,4
339,BELLEVUE HILL RD,4
340,BELLEVUE ST,24
359,BERAM AV,3
366,BERYL ST,4
371,BEXLEY RD,9
377,BILLINGS ST,2
382,BIRCH RD,1
383,BIRCH ST,25
385,BIRCHWOOD ST,9
417,BLUE LEDGE DR,33
419,BLUE LEDGE TR,2
421,BLUEVIEW CR,1
422,BLUEVIEW RD,1
425,BOGANDALE RD,1
476,BRADEEN ST,15
477,BRADFIELD AV,10
488,BRADWOOD ST,8
492,BRAHMS ST,2
527,BROADLAWN PARK,13
538,BROOK FARM RD,3
541,BROOKDALE ST,7
542,BROOKFIELD ST,1
555,BROOKWAY,1
556,BROOKWAY RD,39
557,BROOKWAY TER,2
558,BROOKWAY TR,9
559,BROWN AV,13
560,BROWN AVE,5
564,BROWNSON TR,1
566,BRUCEWOOD ST,3
569,BRYANT RD,1
570,BRYON RD,1
571,BUCHANAN RD,3
584,BURARD ST,1
607,BUSSEY ST,6
640,CANTERBURY ST,1
642,CAPITAL ST,1
656,CAROL CIR,1
657,CAROL CR,15
662,CARROLL ST,2
663,CARROLTON RD,2
669,CASPAR ST,2
672,CASS ST,4
692,CEDARCREST CR,1
693,CEDARCREST RD,3
694,CEDARCREST TR,1
697,CEDRUS AV,3
707,CENTRAL ST,1
710,CENTRE AV,1
716,CENTRE ST,346
717,CENTRE STREET TR,1
719,CERDAN AV,8
731,CHAPIN AV,1
737,CHARLES PARK RD,3
758,CHELLMAN ST,1
764,CHERITON RD,7
768,CHESBROUGH RD,3
791,CHISHOLM LN,2
792,CHISHOLM RD,1
798,CHURCH ST,5
824,CLAXTON ST,1
835,CLEMENT AV,7
847,CLIFTONDALE ST,2
860,COHASSET ST,8
861,COLBERG AV,13
862,COLBERT ST,2
865,COLBY RD,2
873,COLGATE RD,3
909,CONGREVE ST,3
913,CONSTANCE RD,2
918,CONWAY ST,8
935,COREY ST,9
936,CORINNE RD,1
937,CORINTH ST,68
941,CORNELIA ST,1
943,CORNELL ST,49
953,COTTAGE RD,2
955,COTTON ST,4
963,COURTNEY RD,6
966,COWING ST,3
976,CREHORE RD,4
981,CREST ST,1
987,CRICKET LA,1
989,CROCKERS LA,1
997,CROSSTOWN AV,2
998,CROSSTOWN AVE,2
1003,CROWN POINT DR,30
1012,CUMMINS HWY,1
1013,CUMMINS HY,90
1030,CYPRESS ST,2
1048,DANA RD,1
1076,DE SOTO RD,1
1092,DELANO PARK,3
1095,DELFORD ST,6
1108,DENT ST,7
1109,DENTON TR,3
1114,DESOTO RD,8
1160,DOW RD,1
1207,DURNELL AV,10
1213,DWINELL ST,5
1248,EAGLE ST,1
1251,EASTBOURNE ST,2
1258,EASTWOOD CR,2
1261,EDGEBROOK RD,3
1262,EDGEMERE RD,33
1263,EDGEMONT ST,1
1286,ELDON ST,1
1292,ELGIN ST,2
1307,ELLSWOOD ST,1
1322,ELVEN RD,2
1332,EMMONSDALE RD,1
1358,ETHEL ST,2
1361,EUGENIA RD,1
1390,FAIRLANE RD,1
1398,FAIRVIEW ST,3
1408,FARMINGTON RD,1
1411,FARQUHAR ST,5
1428,FAWNDALE RD,33
1455,FERNWOOD RD,1
1466,FIRTH RD,8
