,Var1,Freq
22,A ST,2
37,ADAMS ST,2
61,ALBEMARLE CT,1
62,ALBEMARLE ST,7
66,ALBION ST,1
84,ALLEN ST,4
91,ALPHEUS RD,8
93,ALPINE ST,15
98,ALVARADO AV,3
102,ALWIN ST,4
105,AMERICAN LEGION HWY,22
106,AMERICAN LEGION HY,382
130,ANNAFRAN ST,12
147,ARBORFIELD RD,5
171,ARLINGTON ST,33
184,ASHEVILLE RD,3
219,AUSTIN ST,32
223,AVE DE LAFAYETTE,1
229,AVILA RD,6
233,AYLES RD,4
235,B ST,2
240,BADGER RD,7
279,BARRY ST,2
288,BATEMAN ST,7
305,BEACON ST,9
314,BEAVER ST,6
319,BEECH ST,3
324,BEECHMONT ST,5
346,BELNAP RD,2
347,BELNEL RD,10
384,BIRCHCROFT RD,1
391,BISMARCK ST,13
402,BLAKE ST,19
403,BLAKEMORE ST,2
413,BLUE HILL AV,1
452,BOW ST,20
481,BRADLEE CT,1
482,BRADLEE LA,2
483,BRADLEE ST,17
486,BRADSTREET AV,3
487,BRADSTREET AVE,1
489,BRAEBURN RD,6
493,BRAINARD ST,1
540,BROOK ST,1
568,BRUSH HILL TR,3
572,BUCKINGHAM ST,1
583,BUNKER ST,1
589,BURLEY ST,1
591,BURMAH ST,3
604,BUSINESS ST,26
605,BUSINESS TR,2
614,BYRD AV,3
615,BYRD AVE,1
640,CANTERBURY ST,68
683,CATON ST,3
704,CENTRAL AV,33
707,CENTRAL ST,1
730,CHAPEL RD,2
743,CHARLES ST,12
750,CHARME AV,9
767,CHERYL LN,1
771,CHESTERFIELD ST,5
781,CHESTNUT ST,4
786,CHILD ST,14
796,CHITTICK RD,12
798,CHURCH ST,3
812,CLARE AV,33
813,CLARE AVE,2
823,CLARON ST,3
841,CLEVELAND ST,10
844,CLIFFMONT ST,15
845,CLIFFORD ST,7
866,COLCHESTER ST,3
874,COLLINS ST,10
902,COMO RD,8
947,CORONADO RD,2
972,CRANMORE RD,2
1012,CUMMINS HWY,7
1013,CUMMINS HY,111
1018,CURLEY ST,1
1037,DALE ST,11
1044,DAMON PL,2
1046,DANA AV,57
1047,DANA AVE,3
1049,DANBURY RD,2
1054,DANNY RD,5
1066,DAVISON ST,14
1085,DEDHAM PY,1
1086,DEDHAM ST,1
1090,DEFOREST ST,7
1097,DELL AV,5
1115,DESTEFANO RD,1
1116,DESTEPHANO RD,2
1132,DIETZ RD,5
1141,DODGE RD,3
1144,DONCASTER ST,4
1179,DRURY RD,1
1255,EASTMONT RD,2
1256,EASTON AV,9
1266,EDGEWATER DR,10
1273,EDSON ST,4
1274,EDSON TER,1
1276,EDWARDSON ST,4
1298,ELLARD RD,2
1304,ELLIS ST,5
1313,ELM ST,6
1340,ENNEKING PY,3
1349,ERNEST AVE,1
1377,EVERETT ST,35
1385,FACTORY ST,4
1391,FAIRLAWN AV,35
1393,FAIRMOUNT AV,44
1394,FAIRMOUNT AVE,4
1396,FAIRMOUNT ST,4
1397,FAIRVIEW AV,2
1406,FARADAY ST,10
1414,FARRAR AV,6
1419,FARWELL AV,1
1461,FIELDMONT ST,4
1478,FLORIAN ST,2
1484,FOLSOM ST,1
1522,FRANKLIN ST,2
1524,FRAZER ST,7
1537,FRIENDSHIP RD,5
1546,FULTON ST,4
1564,GARFIELD AV,64
1565,GARFIELD AVE,7
1586,GEORGE ST,4
1591,GERAGHTY TER,1
1592,GERAGHTY TR,1
1618,GLENCLIFF RD,2
