"","Var1","Freq"
"1"," ALBANY ST ",0
"2"," COMMONWEALTH AVE ",0
"3"," MASSACHUSETTS AVE ",0
"4","132 BROOK AVE",0
"5","13TH ST",0
"6","16TH ST",0
"7","1ST AV",0
"8","2ND AV",0
"9","3RD AV",0
"10","3RD ST",0
"11","4TH AV",1
"12","4TH ST",0
"13","5TH AV",0
"14","5TH ST",0
"15","61 HILLSIDE ST",0
"16","6TH ST",0
"17","7TH ST",0
"18","8TH ST",0
"19","98 WOODLEDGE ST",0
"20","9ST ST",0
"21","9TH ST",0
"22","A ST",0
"23","ABBOT ST",0
"24","ABBOTSFORD ST",0
"25","ABBOTTSFORD ST",0
"26","ABERDEEN ST",0
"27","ACADEMY CT",0
"28","ACADEMY HILL RD",15
"29","ACADEMY RD",0
"30","ACADEMY TER",0
"31","ACADEMY TR",0
"32","ACADIA ST",0
"33","ACKLEY PL",0
"34","ACORN ST",0
"35","ADAIR RD",1
"36","ADAMS PL",0
"37","ADAMS ST",0
"38","ADAMS TR",0
"39","ADAMSON ST",19
"40","ADDINGTON RD",0
"41","ADDISON ST",0
"42","ADELAIDE ST",0
"43","ADELLA PL",0
"44","ADIRONDACK PL",0
"45","ADRIAN ST",0
"46","AGASSIZ PARK",0
"47","AGASSIZ RD",0
"48","AGAWAM ST",0
"49","AGUADILLA ST",0
"50","AINSLEY ST",0
"51","AINSWORTH ST",0
"52","AIRPORT RD",0
"53","AKRON PL",0
"54","AKRON ST",0
"55","ALABAMA ST",0
"56","ALAMEDA RD",0
"57","ALASKA ST",0
"58","ALBAN ST",0
"59","ALBANO ST",0
"60","ALBANY ST",0
"61","ALBEMARLE CT",0
"62","ALBEMARLE ST",0
"63","ALBERT ST",0
"64","ALBERTA ST",0
"65","ALBION PL",0
"66","ALBION ST",0
"67","ALCORN ST",3
"68","ALCOTT ST",7
"69","ALDER ST",1
"70","ALDIE ST",16
"71","ALDO TR",0
"72","ALDRICH ST",0
"73","ALDWIN RD",0
"74","ALDWORTH ST",0
"75","ALEXANDER ST",0
"76","ALFORD ST",0
"77","ALFRED ST",0
"78","ALGER ST",0
"79","ALGONQUIN ST",0
"80","ALICIA RD",0
"81","ALLANDALE ST",0
"82","ALLEGHANY ST",0
"83","ALLEN RD",1
"84","ALLEN ST",0
"85","ALLENWOOD ST",0
"86","ALLERTON ST",0
"87","ALLSTATE RD",0
"88","ALLSTON ST",94
"89","ALMONT ST",0
"90","ALPHA RD",0
"91","ALPHEUS RD",0
"92","ALPINE PL",0
"93","ALPINE ST",0
"94","ALTACREST RD",0
"95","ALTHEA ST",0
"96","ALVAN TER",0
"97","ALVAN TR",0
"98","ALVARADO AV",0
"99","ALVESTON ST",0
"100","ALVESTON TR",0
"101","ALWARD RD",0
"102","ALWIN ST",0
"103","AMBOY ST",1
"104","AMBROSE ST",0
"105","AMERICAN LEGION HWY",0
"106","AMERICAN LEGION HY",0
"107","AMES ST",0
"108","AMES WAY",0
"109","AMES WY",0
"110","AMESBURY ST",0
"111","AMHERST ST",0
"112","AMORY AV",0
"113","AMORY AVE",0
"114","AMORY ST",1
"115","AMORY TR",0
"116","AMY CT",0
"117","ANAWAN AV",0
"118","ANAWAN TER",0
"119","ANCHOR WY",0
"120","ANDERER LA",0
"121","ANDERER LN",0
"122","ANDERSON PL",0
"123","ANDERSON ST",0
"124","ANDREW SQUARE",0
"125","ANDRIA RD",0
"126","ANGELL RD",0
"127","ANGELL ST",0
"128","ANITA TR",0
"129","ANNABEL ST",0
"130","ANNAFRAN ST",0
"131","ANNAPOLIS ST",0
"132","ANNAVOY ST",0
"133","ANNUNCIATION RD",0
"134","ANSEL RD",0
"135","ANSELL RD",0
"136","ANSON ST",0
"137","ANSONIA RD",0
"138","ANTHONY RIP VALENTI WAY",0
"139","ANTRIM ST",0
"140","ANTWERP ST",17
"141","APPIAN WY",3
"142","APPLETON ST",0
"143","ARAMON ST",0
"144","ARBELLA RD",0
"145","ARBORCREST TR",0
"146","ARBORETUM RD",0
"147","ARBORFIELD RD",0
"148","ARBOROUGH RD",0
"149","ARBORVIEW RD",0
"150","ARBORWAY",0
"151","ARBORWAY CT",0
"152","ARBROTH ST",0
"153","ARBUTUS ST",0
"154","ARCADIA PARK",0
"155","ARCADIA ST",0
"156","ARCADIA TR",0
"157","ARCH ST",0
