ReptDistrName,STREETNAME,Freq
BRIGHTON,CAMBRIDGE ST,260
BRIGHTON,FOSTER ST,60
BRIGHTON,EVERETT ST,74
BRIGHTON,N BEACON ST,144
BRIGHTON,HARRIET ST,13
BRIGHTON,FANEUIL ST,96
BRIGHTON,TREMONT ST,47
BRIGHTON,BRIGHTON AV,327
BRIGHTON,CRESTHILL RD,2
BRIGHTON,LINDEN ST,84
BRIGHTON,HARVARD AV,180
BRIGHTON,ROYCE RD,14
BRIGHTON,COMMONWEALTH AV,971
BRIGHTON,CONVERSE ST,2
BRIGHTON,NILES ST,5
BRIGHTON,HOLMAN ST,3
BRIGHTON,WASHINGTON ST,439
BRIGHTON,MELVIN AV,10
BRIGHTON,WARREN ST,142
BRIGHTON,GLENVILLE AV,96
BRIGHTON,SOUTH ST,19
BRIGHTON,KILSYTH RD,18
BRIGHTON,LINCOLN ST,58
BRIGHTON,CHESTNUT HILL AV,80
BRIGHTON,PARSONS ST,33
BRIGHTON,PORTSMOUTH ST,5
BRIGHTON,WESTERN AV,94
BRIGHTON,CHARLESVIEW ST,1
BRIGHTON,SPARHAWK ST,12
BRIGHTON,STRATHMORE RD,45
BRIGHTON,GREYCLIFFE RD,7
BRIGHTON,PERTHSHIRE RD,24
BRIGHTON,JETTE CT,36
BRIGHTON,BELLVISTA RD,11
BRIGHTON,BRAINTREE ST,21
BRIGHTON,MONASTERY RD,8
BRIGHTON,BABCOCK ST,16
BRIGHTON,FRANKLIN ST,28
BRIGHTON,FOSTER CT,2
BRIGHTON,SUTHERLAND RD,33
BRIGHTON,KENRICK ST,21
BRIGHTON,MARKET ST,118
BRIGHTON,ADAIR RD,1
BRIGHTON,CHESTER ST,70
BRIGHTON,BROOK ST,4
BRIGHTON,RIDGEMONT ST,19
BRIGHTON,SOLDIERS FIELD RD,68
BRIGHTON,EMPIRE ST,14
BRIGHTON,ALLSTON ST,94
BRIGHTON,GUEST ST,14
BRIGHTON,BRAINERD RD,57
BRIGHTON,BEACON ST,71
BRIGHTON,GORDON ST,48
BRIGHTON,SNOW ST,5
BRIGHTON,ADAMSON ST,19
BRIGHTON,ROYAL ST,6
BRIGHTON,CUMMINGS RD,29
BRIGHTON,HOOKER ST,21
BRIGHTON,ST THOMAS MORE RD,12
BRIGHTON,LONG AV,14
BRIGHTON,UNION ST,17
BRIGHTON,FORDHAM RD,9
BRIGHTON,FIDELIS WY,59
BRIGHTON,KELTON ST,71
BRIGHTON,BIRMINGHAM PY,10
BRIGHTON,COREY RD,43
BRIGHTON,LANGLEY RD,19
BRIGHTON,HARVARD ST,6
BRIGHTON,SURREY ST,13
BRIGHTON,KIRKWOOD RD,30
BRIGHTON,GREYLOCK RD,21
BRIGHTON,MAPLETON ST,12
BRIGHTON,DENBY RD,8
BRIGHTON,VINAL ST,8
BRIGHTON,GLENCOE ST,18
BRIGHTON,WEITZ ST,6
BRIGHTON,CHESTNUT HILL DY,1
BRIGHTON,LITCHFIELD ST,28
BRIGHTON,LEICESTER ST,11
BRIGHTON,ASHFORD ST,73
BRIGHTON,PARK VALE AV,33
BRIGHTON,ORKNEY RD,21
BRIGHTON,RAYMOND ST,14
BRIGHTON,PRATT ST,37
BRIGHTON,BENNETT ST,5
BRIGHTON,PENNIMAN RD,9
BRIGHTON,HANO ST,28
BRIGHTON,ROSE GARDEN CR,3
BRIGHTON,HOBSON ST,13
BRIGHTON,EUSTON RD,10
BRIGHTON,ELECTRIC AV,4
BRIGHTON,EASTON ST,13
BRIGHTON,S WAVERLY ST,10
BRIGHTON,SAUNDERS ST,11
BRIGHTON,BIGELOW ST,15
BRIGHTON,EMERY RD,7
BRIGHTON,ISLINGTON TR,3
BRIGHTON,BRAEMORE RD,8
BRIGHTON,RIVERVIEW RD,6
BRIGHTON,FALKLAND ST,10
BRIGHTON,WOODSTOCK AV,12
BRIGHTON,GOODENOUGH ST,16
BRIGHTON,RICHARDSON ST,3
BRIGHTON,CAMBRIDGE TR,9
BRIGHTON,ANTWERP ST,17
BRIGHTON,GERALD RD,17
BRIGHTON,ALDIE ST,16
BRIGHTON,MURDOCK ST,16
BRIGHTON,COLBORNE RD,22
BRIGHTON,ST LUKES RD,20
BRIGHTON,RANSOM RD,10
BRIGHTON,RADNOR RD,13
BRIGHTON,NONANTUM RD,3
BRIGHTON,CAMELOT CT,10
BRIGHTON,SANDERSON PL,1
BRIGHTON,BROOKS ST,26
BRIGHTON,VINELAND ST,12
BRIGHTON,GARDNER ST,80
BRIGHTON,MONTCALM AV,7
BRIGHTON,BARROWS ST,7
BRIGHTON,LAKE ST,22
BRIGHTON,NAPLES RD,1
BRIGHTON,PRISCILLA RD,6
BRIGHTON,SINCLAIR RD,2
BRIGHTON,NOTTINGHILL RD,8
BRIGHTON,MT VERNON ST,11
BRIGHTON,MATCHETT ST,5
BRIGHTON,WILSON PARK,6
BRIGHTON,ETNA ST,6
BRIGHTON,ARLINGTON ST,37
BRIGHTON,BRACKETT ST,10
BRIGHTON,LOTHIAN RD,15
BRIGHTON,HARRY AGGANIS WAY,3
BRIGHTON,MONTFERN AV,17
BRIGHTON,TIP TOP ST,2
BRIGHTON,HARDWICK ST,2
BRIGHTON,ACADEMY HILL RD,15
BRIGHTON,ROGERS PARK AV,5
BRIGHTON,KILSYTH TR,1
BRIGHTON,LIFE ST,2
BRIGHTON,N HARVARD ST,45
BRIGHTON,GLENMONT RD,37
BRIGHTON,OAK SQUARE AV,4
BRIGHTON,MURDOCK TR,1
BRIGHTON,LAKE SHORE,1
BRIGHTON,BRECK AV,6
BRIGHTON,LEAMINGTON RD,3
BRIGHTON,CLEVEMONT AV,3
BRIGHTON,BRONSDON ST,9
BRIGHTON,OAKLAND ST,13
BRIGHTON,NEWTON ST,26
BRIGHTON,WADE ST,2
BRIGHTON,BLAINE ST,3
BRIGHTON,WARREN AV,3
BRIGHTON,ALCORN ST,3
BRIGHTON,BEECHCROFT ST,28
BRIGHTON,SCHOOL ST,4
BRIGHTON,DONNYBROOK RD,4
BRIGHTON,ARMINGTON ST,17
BRIGHTON,SUMMIT AV,14
BRIGHTON,LINDEN AV,1
BRIGHTON,QUINT AV,29
BRIGHTON,MANSFIELD ST,7
BRIGHTON,SIDLAW RD,12
BRIGHTON,JUSTIN RD,5
BRIGHTON,DUSTIN ST,14
BRIGHTON,BRAYTON RD,8
BRIGHTON,HOLTON ST,7
BRIGHTON,MARGO RD,3
BRIGHTON,CAMBRIA ST,1
BRIGHTON,BELLAMY ST,5
BRIGHTON,WALLINGFORD RD,24
BRIGHTON,HATHERLY RD,1
BRIGHTON,WAVERLY ST,14
BRIGHTON,CHISWICK RD,33
BRIGHTON,WADSWORTH ST,8
BRIGHTON,ASHFORD CT,5
BRIGHTON,HIGGINS ST,8
BRIGHTON,HOBART ST,5
BRIGHTON,PRICE RD,9
BRIGHTON,BENNET ST,7
BRIGHTON,RIVERDALE ST,6
BRIGHTON,DUNBOY ST,12
BRIGHTON,HIGHGATE ST,10
BRIGHTON,HASKELL ST,4
BRIGHTON,LANARK RD,11
BRIGHTON,DUVAL ST,3
BRIGHTON,WILTON ST,2
BRIGHTON,AMORY ST,1
BRIGHTON,HIGH ROCK WY,7
BRIGHTON,ENGLEWOOD AV,12
